Year,State,Group,Turnout
2018,Michigan,Young,0.33019101698844483
2020,Michigan,Overall,0.73
2020,Michigan,Hispanic,0.5967179587793585
2020,Michigan,Young,0.5776891908016358
2022,Michigan,Overall,0.59
2022,Michigan,Hispanic,0.43335942539936106
2022,Michigan,Young,0.4245156668866791
2010,Minnesota,Overall,0.56
2010,Minnesota,Hispanic,0.33901318101341466
2010,Minnesota,Young,0.28484480018463393
2012,Minnesota,Overall,0.77
2012,Minnesota,Hispanic,0.48093431259167435
2012,Minnesota,Young,0.6243921935480953
2014,Minnesota,Overall,0.51
2014,Minnesota,Hispanic,0.3284515787589517
2014,Minnesota,Young,0.21168580925103112
2016,Minnesota,Overall,0.75
2016,Minnesota,Hispanic,0.3996834921825338
2016,Minnesota,Young,0.5965713241112449
2018,Minnesota,Overall,0.64
2018,Minnesota,Hispanic,0.5790276234495462
2018,Minnesota,Young,0.4341580049517537
2020,Minnesota,Overall,0.79
2020,Minnesota,Hispanic,0.6365157937882503
2020,Minnesota,Young,0.7021162141076398
2022,Minnesota,Overall,0.59
2022,Minnesota,Hispanic,0.3792832516507165
2022,Minnesota,Young,0.3506126914727162
2010,Mississippi,Overall,0.37
2010,Mississippi,Hispanic,0.2926700910810345
2010,Mississippi,Young,0.22075811743854093
2012,Mississippi,Overall,0.59
2012,Mississippi,Hispanic,0.09852760885677646
2012,Mississippi,Young,0.5047019169642868
2014,Mississippi,Overall,0.29
2014,Mississippi,Hispanic,0.2745398453556851
2014,Mississippi,Young,0.18167980037499817
2016,Mississippi,Overall,0.55
2016,Mississippi,Hispanic,0.5520302741834697
2016,Mississippi,Young,0.3794019054667084
2018,Mississippi,Overall,0.44
2018,Mississippi,Hispanic,0.2654623269964898
2018,Mississippi,Young,0.21696725282172
2020,Mississippi,Overall,0.61
2020,Mississippi,Hispanic,0.38229196552966316
2020,Mississippi,Young,0.3666414575574579
2022,Mississippi,Overall,0.33
2022,Mississippi,Hispanic,0.03275962145456777
2022,Mississippi,Young,0.19137451109089268
2010,Missouri,Overall,0.46
2010,Missouri,Hispanic,0.37455091246732536
2010,Missouri,Young,0.20373049167585866
2012,Missouri,Overall,0.64
2012,Missouri,Hispanic,0.6079796479901243
2012,Missouri,Young,0.4299753186882786
2014,Missouri,Overall,0.34
2014,Missouri,Hispanic,0.28203391311800585
2014,Missouri,Young,0.12825438297070604
2016,Missouri,Overall,0.62
2016,Missouri,Hispanic,0.5185369879113011
2016,Missouri,Young,0.45961857573139653
2018,Missouri,Overall,0.53
2018,Missouri,Hispanic,0.41762011436770746
2018,Missouri,Young,0.39959117069689354
2020,Missouri,Overall,0.65
2020,Missouri,Hispanic,0.5180988531665316
2020,Missouri,Young,0.5402402361122983
2022,Missouri,Overall,0.5
2022,Missouri,Hispanic,0.3690071765909008
2022,Missouri,Young,0.2551042037562968
2010,Montana,Overall,0.48
2010,Montana,Hispanic,0.4159253267708977
2010,Montana,Young,0.1927498005228564
2012,Montana,Overall,0.64
2012,Montana,Hispanic,0.5075656564030288
2012,Montana,Young,0.4084459351920004
2014,Montana,Overall,0.48
2014,Montana,Hispanic,0.5072101865965238
2014,Montana,Young,0.20256116058705137
2016,Montana,Overall,0.64
2016,Montana,Hispanic,0.5365974047774124
2016,Montana,Young,0.3900710983290118
2018,Montana,Overall,0.62
2018,Montana,Hispanic,0.5218835940957022
2018,Montana,Young,0.37832340773568407
2020,Montana,Overall,NA
2020,Montana,Hispanic,NA
2020,Montana,Young,NA
2022,Montana,Overall,0.53
2022,Montana,Hispanic,0.4509693255203531
2022,Montana,Young,0.2877809058194136
2010,Nebraska,Overall,0.39
2010,Nebraska,Hispanic,0.20387256813884047
2010,Nebraska,Young,0.10081147715957138
2012,Nebraska,Overall,0.61
2012,Nebraska,Hispanic,0.32733030149904896
2012,Nebraska,Young,0.3995158525259498
2014,Nebraska,Overall,0.42
2014,Nebraska,Hispanic,0.18581817461726619
2014,Nebraska,Young,0.14718220747532912
2016,Nebraska,Overall,0.64
2016,Nebraska,Hispanic,0.5444110073304187
2016,Nebraska,Young,0.5067723054720563
2018,Nebraska,Overall,0.52
2018,Nebraska,Hispanic,0.3361482497816779
2018,Nebraska,Young,0.32740752617554947
2020,Nebraska,Overall,0.69
2020,Nebraska,Hispanic,0.5159672064311995
2020,Nebraska,Young,0.4475596525294944
2022,Nebraska,Overall,0.48
2022,Nebraska,Hispanic,0.15431181914994413
2022,Nebraska,Young,0.1560703713640898
2010,Nevada,Overall,0.41
2010,Nevada,Hispanic,0.26990043353906507
2010,Nevada,Young,0.24443817297950907
2012,Nevada,Overall,0.57
2012,Nevada,Hispanic,0.5112951695382824
2012,Nevada,Young,0.40681467434669977
2014,Nevada,Overall,0.29
2014,Nevada,Hispanic,0.21483013108006543
2014,Nevada,Young,0.14076725098692885
2016,Nevada,Overall,0.58
2016,Nevada,Hispanic,0.5426855181896783
2016,Nevada,Young,0.4109146501306842
2018,Nevada,Overall,0.47
2018,Nevada,Hispanic,0.36344629072958257
2018,Nevada,Young,0.31288597625151765
2020,Nevada,Overall,0.64
2020,Nevada,Hispanic,0.48350819583986265
2020,Nevada,Young,0.3818492892078872
2022,Nevada,Overall,0.46
2022,Nevada,Hispanic,0.27845444689262694
2022,Nevada,Young,0.20772005777369512
2010,New Hampshire,Overall,0.46
2010,New Hampshire,Hispanic,0.2725735732079726
2010,New Hampshire,Young,0.19555325921587804
2012,New Hampshire,Overall,0.71
2012,New Hampshire,Hispanic,0.6515544888777834
2012,New Hampshire,Young,0.5301697691598412
2014,New Hampshire,Overall,0.48
2014,New Hampshire,Hispanic,0.45498190714296644
2014,New Hampshire,Young,0.181767268814996
2016,New Hampshire,Overall,0.72
2016,New Hampshire,Hispanic,0.6169745442452557
2016,New Hampshire,Young,0.5913412236987108
2018,New Hampshire,Overall,0.54
2018,New Hampshire,Hispanic,0.5139852616842508
2018,New Hampshire,Young,0.35694337686028016
2020,New Hampshire,Overall,0.74
2020,New Hampshire,Hispanic,0.4558610091147352
2020,New Hampshire,Young,0.6231648656239681
2022,New Hampshire,Overall,0.56
2022,New Hampshire,Hispanic,0.23625847031257877
2022,New Hampshire,Young,0.3050345589135531
2010,New Jersey,Overall,0.38
2010,New Jersey,Hispanic,0.2562550939224682
2010,New Jersey,Young,0.151841724873028
2012,New Jersey,Overall,0.62
2012,New Jersey,Hispanic,0.5121516060668893
2012,New Jersey,Young,0.39124943785817556
2014,New Jersey,Overall,0.33
2014,New Jersey,Hispanic,0.3091013307749487
2014,New Jersey,Young,0.12925764075620053
2016,New Jersey,Overall,0.66
2016,New Jersey,Hispanic,0.46369579127919586
2016,New Jersey,Young,0.43633352906052664
2018,New Jersey,Overall,0.54
2018,New Jersey,Hispanic,0.5120092355156515
2018,New Jersey,Young,0.3213372608262452
2020,New Jersey,Overall,0.72
2020,New Jersey,Hispanic,0.6629848628541933
2020,New Jersey,Young,0.6924855392347529
2022,New Jersey,Overall,0.41
2022,New Jersey,Hispanic,0.3178854057325261
2022,New Jersey,Young,0.24518633019509878
2010,New Mexico,Overall,0.45
2010,New Mexico,Hispanic,0.3753817918455258
2010,New Mexico,Young,0.14346129056268753
2012,New Mexico,Overall,0.55
2012,New Mexico,Hispanic,0.501648611677322
2012,New Mexico,Young,0.35882359762888316
2014,New Mexico,Overall,0.36
2014,New Mexico,Hispanic,0.2810480587024371
2014,New Mexico,Young,0.09731436699760669
2016,New Mexico,Overall,0.55
2016,New Mexico,Hispanic,0.48393889846427657
2016,New Mexico,Young,0.41049241061629504
2018,New Mexico,Overall,0.47
2018,New Mexico,Hispanic,0.3950558701171522
2018,New Mexico,Young,0.2731288525109266
2020,New Mexico,Overall,0.6
2020,New Mexico,Hispanic,0.5155859718440988
2020,New Mexico,Young,0.4111904222868674
2022,New Mexico,Overall,0.46
2022,New Mexico,Hispanic,0.3741145917571644
2022,New Mexico,Young,0.28898478071930866
2010,New York,Overall,0.36
2010,New York,Hispanic,0.26569013922142515
2010,New York,Young,0.178492328457307
2012,New York,Overall,0.54
2012,New York,Hispanic,0.49635831869152286
2012,New York,Young,0.3649099429299541
2014,New York,Overall,0.29
2014,New York,Hispanic,0.23739475151000147
2014,New York,Young,0.12542965676116277
2016,New York,Overall,0.58
2016,New York,Hispanic,0.5128996550454161
2016,New York,Young,0.3872286090021104
2018,New York,Overall,0.45
2018,New York,Hispanic,0.3720938976034075
2018,New York,Young,0.3022181109657124
2020,New York,Overall,0.62
2020,New York,Hispanic,0.5258456034403965
2020,New York,Young,0.4579566103401796
2022,New York,Overall,0.42
2022,New York,Hispanic,0.3259440978671573
2022,New York,Young,0.20701382060601073
2010,North Carolina,Overall,0.4
2010,North Carolina,Hispanic,0.38657673981918533
2010,North Carolina,Young,0.1885599074162181
2012,North Carolina,Overall,0.65
2012,North Carolina,Hispanic,0.5283835519750723
2012,North Carolina,Young,0.4713349544154953
2014,North Carolina,Overall,0.41
2014,North Carolina,Hispanic,0.23104571515977484
