age_cluster,is_in_poverty,YEAR,vep_in_group,voters_in_group,turnout,total_vep,total_voters,pct_of_ve_population,pct_of_electorate,vri
60+,FALSE,2004,29229948.064141255,20344480.265705038,69.6014930339998,175654284.0783,102370884.47294457,16.64061210776485,19.873307113099962,19.42653902632988
60+,FALSE,2006,29792366.28752045,20270214.91563734,68.03828443841405,176961365.7732,86017980.12858626,16.83552009069788,23.565090560526848,39.97245367873876
60+,FALSE,2008,30448897.095884975,21631387.062866926,71.04161111237853,177691362.5187,105878714.0095248,17.135834102617437,20.430345480887663,19.225859439004495
60+,FALSE,2010,39776027.23268469,25763480.96119631,64.77137802245365,177092471.2646,80258522.78246115,22.460597533394825,32.100616941365374,42.919692557767405
60+,FALSE,2012,45213355.11205673,33367703.156922076,73.80054648504539,187479715.3831,113304440.7675453,24.116398416578992,29.449598736715938,22.11441454902569
60+,FALSE,2014,45939173.92405564,28115156.224602636,61.200831062137105,185283024.8897,76485002.17658542,24.79405436704387,36.759044812068545,48.25749862405916
60+,FALSE,2016,49576700.13554412,36118000.198400594,72.85277176506897,191396744.7678,114793543.56918722,25.902582719309002,31.46344217227854,21.468359017435787
60+,FALSE,2018,49280778.33584542,34046978.31526562,69.08774468462651,188389284.1447,97968316.8097458,26.159013533908507,34.75305019416099,32.853060950148226
60+,FALSE,2020,54253017.40309744,42964668.32067703,79.19314054267527,195188683.83269998,130406293.93307385,27.795165343498475,32.94677505575539,18.534193441889055
60+,FALSE,2022,54322195.68119067,36315323.452973604,66.85172239005789,194992342.1462,94181927.6824724,27.85863028429155,38.55869628768707,38.40844253361907
60+,FALSE,2024,58616767.422710806,45683796.805571504,77.9363974067794,202787430.60999998,131661945.9817801,28.905523013131102,34.697798566560316,20.03864642337701
60+,TRUE,1994,4400074.912774698,1799292.914365434,40.89232456341966,166151414.3345,80964863.55177622,2.6482319939307657,2.2223132794076834,-16.083134540297277
60+,TRUE,1996,4531503.0669712,2031869.460543095,44.83875284897846,166585472.5235,88705243.30350462,2.720227039204722,2.2905855222008267,-15.794325650461301
60+,TRUE,1998,3452736.047593782,1395797.6699611722,40.42584346793338,168352053.918,74475281.1135593,2.050902241605868,1.874175765557529,-8.617011209172071
60+,TRUE,2000,3134249.076971331,1335668.3068113185,42.615257243754016,168532512.6654,92192415.03529915,1.8597296316313676,1.448783293397738,-22.09710117234324
60+,TRUE,2002,2580776.7002603924,973208.4889485592,37.70990682186356,172453814.1876,76801138.76934169,1.4965031144239889,1.2671797639243534,-15.323947427126011
60+,TRUE,2004,2734750.1202033455,1188770.6599009342,43.46907789193339,175654284.0783,102370884.47294457,1.5568934936903092,1.161239024182811,-25.41307232068118
60+,TRUE,2006,3331425.855286048,1377906.0158600244,41.36084894921705,176961365.7732,86017980.12858626,1.8825724138881943,1.6018813901468332,-14.909972209867478
60+,TRUE,2008,3300919.7053854894,1513163.390691521,45.84066035362136,177691362.5187,105878714.0095248,1.8576703215037282,1.4291478743833228,-23.06773393319485
60+,TRUE,2010,4265593.51065438,1827525.9905307642,42.84341641945169,177092471.2646,80258522.78246115,2.4086814533639935,2.277049124719415,-5.464912284716566
60+,TRUE,2012,4428627.22321198,2355592.09265591,53.19011905787486,187479715.3831,113304440.7675453,2.362190071689852,2.078993618165972,-11.98872423171639
60+,TRUE,2014,4729426.0769695025,2036060.2559192115,43.05089503003433,185283024.8897,76485002.17658542,2.5525414860778293,2.6620385670100912,4.289727768558716
60+,TRUE,2016,4953296.406500993,2500635.984886489,50.48427914801362,191396744.7678,114793543.56918722,2.587973171910665,2.1783768556454834,-15.826915082074917
60+,TRUE,2018,5907658.989192426,2498013.792703628,42.28432611417717,188389284.1447,97968316.8097458,3.135878463583316,2.5498180167316375,-18.688876295990028
60+,TRUE,2020,5324571.550170058,2927696.314888033,54.984636553424224,195188683.83269998,130406293.93307385,2.7279099615907305,2.245057524900266,-17.70045358861104
60+,TRUE,2022,5130319.538934384,2153037.038516152,41.966918866877414,194992342.1462,94181927.6824724,2.6310364204394285,2.2860405297446893,-13.11254713217231
60+,TRUE,2024,6274696.730066487,3383016.310465615,53.915216240734054,202787430.60999998,131661945.9817801,3.0942236958137506,2.569471600346671,-16.95908722362346
