YEAR,STATE,STATE_ABV,TOTAL_BALLOTS_COUNTED,VOTE_FOR_HIGHEST_OFFICE,VAP,NONCITIZEN_PCT,INELIGIBLE_PRISON,INELIGIBLE_PROBATION,INELIGIBLE_PAROLE,INELIGIBLE_FELONS_TOTAL,VEP,VEP_TURNOUT_RATE,VAP_TURNOUT_RATE
2016,Texas,TX,"8,975,000","8,969,226","20,718,271",0.13,"155,327","374,285","111,287","479,956","17,482,785",0.51,0.43
2016,Utah,UT,"1,152,369","1,131,430","2,139,328",0.07,"5,846",0,0,"5,846","1,985,869",0.58,0.54
2016,Vermont,VT,"320,467","315,067","505,888",0.02,0,0,0,0,"494,758",0.65,0.63
2016,Virginia,VA,"3,996,302","3,984,631","6,556,247",0.07,"36,959","60,821","1,650","73,277","6,030,589",0.66,0.61
2016,Washington,WA,"3,363,440","3,317,019","5,693,791",0.09,"18,335","89,317","11,322","80,568","5,123,557",0.66,0.59
2016,West Virginia,WV,"732,362","714,423","1,454,560",0.01,"7,137","6,523","3,550","14,405","1,424,155",0.51,0.50
2016,Wisconsin,WI,"2,993,000","2,976,150","4,493,054",0.03,"22,889","44,489","20,401","68,649","4,280,628",0.70,0.67
2016,Wyoming,WY,"258,788","255,849","446,228",0.02,"2,323","4,666",842,"5,825","429,694",0.60,0.58
2014,Alabama,AL,"1,191,274","1,180,413","3,740,624",0.03,"31,691","53,640","8,097","69,826","3,573,542",0.33,0.32
2014,Alaska,AK,"285,431","282,382","550,095",0.04,"5,216","7,077","2,210","11,389","517,252",0.55,0.52
2014,Arizona,AZ,"1,537,671","1,506,416","5,138,141",0.10,"37,516","73,232","7,502","86,028","4,553,713",0.34,0.30
2014,Arkansas,AR,"852,642","848,592","2,264,098",0.04,"17,756","28,192","21,743","55,287","2,122,776",0.40,0.38
2014,California,CA,"7,513,972","7,317,581","29,575,685",0.17,"136,088",0,87104,"223,192","24,413,353",0.31,0.25
2014,Colorado,CO,"2,080,071","2,041,020","4,132,930",0.07,"19,121",0,10067,"29,188","3,814,437",0.55,0.50
2014,Connecticut,CT,"1,096,556","1,089,880","2,822,985",0.08,"16,113",0,2564,"18,677","2,572,824",0.43,0.39
2014,Delaware,DE,"238,110","234,038","731,850",0.06,"6,625","15,665",676,"16,073","674,793",0.35,0.33
2014,District of Columbia,DC,"177,176","175,071","549,851",0.09,0,0,0,0,"499,265",0.35,0.32
2014,Florida,FL,"6,026,802","5,951,561","15,897,657",0.11,"95,671","227,087","4,519","227,359","14,001,044",0.43,0.38
2014,Georgia,GA,"2,596,947","2,567,761","7,613,021",0.07,"50,499","471,067","25,547","339,844","6,732,653",0.39,0.34
2014,Hawaii,HI,"369,554","366,125","1,109,048",0.09,"5,721",0,0,"5,721","1,004,622",0.37,0.33
2014,Idaho,ID,"445,307","439,830","1,205,909",0.05,"7,901","33,450","4,217","30,850","1,119,588",0.40,0.37
2014,Illinois,IL,"3,680,417","3,627,690","9,893,765",0.09,"46,465",0,0,"46,465","8,986,543",0.41,0.37
2014,Indiana,IN,"1,387,622","1,341,814","5,017,809",0.04,"28,638",0,0,"28,638","4,803,512",0.29,0.28
2014,Iowa,IA,"1,142,284","1,129,700","2,384,136",0.04,"8,686","29,929","5,769","31,215","2,269,477",0.50,0.48
2014,Kansas,KS,"887,023","869,502","2,181,529",0.05,"9,326","16,328","4,051","22,521","2,043,387",0.43,0.41
2014,Kentucky,KY,"1,459,409","1,435,868","3,404,267",0.03,"21,402","54,107","16,729","68,431","3,250,729",0.45,0.43
