pct_name,pct_id,pct_num,reg_vot,cand_name,cand_party,votes
04-105 Juneau Airport Area,04-105,37,1593,Terry/Broden,CON,0
04-105 Juneau Airport Area,04-105,37,1593,Trump/Vance,REP,163
04-105 Juneau Airport Area,04-105,37,1593,West/Abdullah,AUR,0
04-105 Juneau Airport Area,04-105,37,1593,YES,YES,109
04-105 Juneau Airport Area,04-105,37,1593,NO,NO,162
04-110 Juneau No. 1,04-110,38,2359,Harris/Walz,DEM,282
04-110 Juneau No. 1,04-110,38,2359,Kennedy/Shanahan,RFK,6
04-110 Juneau No. 1,04-110,38,2359,Oliver/Maat,LIB,7
04-110 Juneau No. 1,04-110,38,2359,Sonski/Onak,ASP,1
04-110 Juneau No. 1,04-110,38,2359,Stein/Ware,GRN,5
04-110 Juneau No. 1,04-110,38,2359,Terry/Broden,CON,2
04-110 Juneau No. 1,04-110,38,2359,Trump/Vance,REP,124
04-110 Juneau No. 1,04-110,38,2359,West/Abdullah,AUR,2
04-110 Juneau No. 1,04-110,38,2359,YES,YES,108
04-110 Juneau No. 1,04-110,38,2359,NO,NO,315
04-115 Juneau No. 2,04-115,39,2367,Harris/Walz,DEM,358
04-115 Juneau No. 2,04-115,39,2367,Kennedy/Shanahan,RFK,9
04-115 Juneau No. 2,04-115,39,2367,Oliver/Maat,LIB,4
04-115 Juneau No. 2,04-115,39,2367,Sonski/Onak,ASP,1
04-115 Juneau No. 2,04-115,39,2367,Stein/Ware,GRN,8
04-115 Juneau No. 2,04-115,39,2367,Terry/Broden,CON,0
04-115 Juneau No. 2,04-115,39,2367,Trump/Vance,REP,72
04-115 Juneau No. 2,04-115,39,2367,West/Abdullah,AUR,8
04-115 Juneau No. 2,04-115,39,2367,YES,YES,69
04-115 Juneau No. 2,04-115,39,2367,NO,NO,382
04-120 Juneau No. 3,04-120,40,1097,Harris/Walz,DEM,164
04-120 Juneau No. 3,04-120,40,1097,Kennedy/Shanahan,RFK,8
04-120 Juneau No. 3,04-120,40,1097,Oliver/Maat,LIB,3
